listing_type,status,Demand %,area,zone,project_name,tenant_restriction,price,Notes,estimated mv,installment,parking/floor,bed,bath,size,furnishing,type,tenure,room_type,bath_type,anchors,image,wa_text,date_added,source_link,move_in_date,code,lelong_date
rental,rented,-,Selayang,Sri Gombak,Bayu Residensi @ Sri Gombak,-,1600,,,-,,4,2,862,Unfurnished,Service Residence,-,-,-,Sri Gombak LRT Station | Batu Caves KTM Station | Lotus's Selayang | Selayang Mall | MRR2 Highway,https://www.haniproperties.com/images/unitpic/bayuresidensisrigombakADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Bayu Residensi @ Sri Gombak, Sri Gombak. Price: RM1600. Ref: ADL",18/7/2026,https://t.me/adiblisting/8588,Immediate,ADL,-
rental,rented,-,Puncak Alam,Pusat Perdagangan Alam Jaya,Sentrovue Serviced Apartment,Local Only,1000,,,-,,3,2,842,Partially Furnished,Apartment,-,,-,,https://www.haniproperties.com/images/unitpic/sentrovueservicedapartmentEX/pic1.jpg,,,https://t.me/RumahSewaKLSlgrBelowRM2000/28189,Immediate,EX,-
rental,rented,-,Ampang,Pandan Indah,Flat Merpati,-,1000,,,-,,3,1,650,-,Apartment,-,,-,,https://www.haniproperties.com/images/unitpic/flatmerpatiEX/pic1.jpg,,,https://t.me/RumahSewaKLSlgrBelowRM2000/28195,Aug-26,EX,-
rental,rented,-,Kuala Lumpur,Taman OUG,OUG Parklane Phase 2,Chinese Preferred | Malay Preferred | Family Preferred,1400,,,-,,3,2,950,Partially Furnished,Apartment,-,,-,,https://www.haniproperties.com/images/unitpic/ougparklanephase2EX/pic1.jpg,17/7/2026,,https://t.me/RumahSewaKLSlgrBelowRM2000/28209,Immediate,EX,-
rental,rented,-,Kuala Lumpur,Taman Sri Sentosa,Flat AC4 Ria,-,1200,,,-,,3,2,700,Partially Furnished,Apartment,-,,-,,https://www.haniproperties.com/images/unitpic/flatac4riaEX/pic1.jpg,,,https://t.me/RumahSewaKLSlgrBelowRM2000/28223,Immediate,EX,-
rental,rented,-,Kuala Lumpur,Sentul,Menara Orkid,-,1400,,,-,,3,2,838,Partially Furnished,Apartment,-,,-,,https://www.haniproperties.com/images/unitpic/menaraorkidADL/pic1.jpg,,,https://t.me/adiblisting/8496,Aug-26,ADL,-
rental,rented,-,Petaling Jaya / Damansara,Damansara Damai,Rampai Idaman Apartment,-,1000,,,-,,3,2,650,Fully Furnished,Apartment,-,,-,,https://www.haniproperties.com/images/unitpic/rampaiidamanapartmentADL/pic1.jpg,17/7/2026,,https://t.me/adiblisting/8518,Immediate,ADL,-
rental,rented,-,Kuala Lumpur,Kampung Baru,Wisma Akar,Workers Preferred,1600,,,-,,3,2,800,Unfurnished,Commercial,-,-,-,LRT Kampung Baru Station | Suria KLCC | Hospital Kuala Lumpur (HKL) | AKLEH Highway,https://www.haniproperties.com/images/unitpic/wismaakarEX/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Wisma Akar, Kampung Baru. Price: RM1600. Ref: EX",16/7/2026,https://t.me/RumahSewaKLSlgrBelowRM2000/28180,-,EX,-
rental,rented,-,Kuala Lumpur,Chow Kit,Wisma Akar (Upper Floor),-,1500,,,-,,3,2,880,Unfurnished,Apartment,-,-,-,Monorail Chow Kit | Sogo KL | Hospital Kuala Lumpur | PWTC,https://www.haniproperties.com/images/unitpic/wismaakarupperfloorEX/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Wisma Akar (Upper Floor), Chow Kit. Price: RM1500. Ref: EX",14/7/2026,https://telegram.me/RumahSewaKLSlgrBelowRM2000/28101,Immediate,EX,-
rental,rented,-,Ampang,Bukit Antarabangsa,Villaria Condominium,-,1900,,,-,,4,2,1300,Unfurnished,Condominium,-,-,-,Giant Hypermarket Bukit Antarabangsa | SMK Seri Keramat 2 | MRR2 Highway | DUKE Highway,https://www.haniproperties.com/images/unitpic/villariacondominiumEX/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Villaria Condominium, Bukit Antarabangsa. Price: RM1900. Ref: EX",14/7/2026,https://telegram.me/RumahSewaKLSlgrBelowRM2000/28113,-,EX,-
rental,rented,-,Kuala Lumpur,Segambut / Dutamas,Villa Makmur Condominium,-,2500,,,-,,3,2,1124,Fully Furnished,Condominium,-,-,-,Segambut KTM | Publika | United Point Mall | Jalan Duta | DUKE,https://www.haniproperties.com/images/unitpic/villamakmurcondominiumMMN/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Villa Makmur Condominium, Segambut / Dutamas. Price: RM2500. Ref: MMN",14/7/2026,https://telegram.me/AniListings/1737,Immediate,MMN,-
rental,rented,-,Kuala Lumpur,KLCC,Parkview Service Apartment,-,2000,,,-,,1,1,515,Fully Furnished,Service Residence,-,-,-,KLCC LRT Station | Bukit Nanas Monorail | Suria KLCC | Pavilion KL,https://www.haniproperties.com/images/unitpic/parkviewserviceapartmentEX/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Parkview Service Apartment, KLCC. Price: RM2000. Ref: EX",14/7/2026,https://telegram.me/RumahSewaKLSlgrBelowRM2000/28107,Immediate,EX,-
rental,rented,-,Cheras,Taman Len Seng,Maxim Residences,-,1500,,,-,,2,2,854,Partially Furnished,Condominium,-,-,-,MRT Taman Midah Station | AEON Mall Taman Maluri | Leisure Mall Cheras | MRR2 Highway,https://www.haniproperties.com/images/unitpic/maximresidencesADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Maxim Residences, Taman Len Seng. Price: RM1500. Ref: ADL",14/7/2026,https://telegram.me/adiblisting/8239,1/8/2026,ADL,-
rental,rented,-,Setapak,Taman Melati,Flat Taman Melati,Malaysian Only,1100,,,-,,2,1,800,Fully Furnished,Flat,-,-,-,Taman Melati LRT Station | Melawati Mall | Columbia Asia Hospital Setapak | MRR2 Highway,https://www.haniproperties.com/images/unitpic/flattamanmelatiADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Flat Taman Melati, Taman Melati. Price: RM1100. Ref: ADL",14/7/2026,https://telegram.me/adiblisting/8210,Immediate,ADL,-
rental,rented,-,Seri Kembangan,The Mines,The Heritage Residence,-,1300,,,-,,-,-,480,Fully Furnished,Studio,-,-,-,Serdang KTM Station | Mines Shopping Mall | UPM (Universiti Putra Malaysia) | Columbia Asia Hospital Puchong | SILK Highway,https://www.haniproperties.com/images/unitpic/theheritageresidenceADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at The Heritage Residence, The Mines. Price: RM1300. Ref: ADL",13/7/2026,https://telegram.me/adiblisting/8147,Aug-26,ADL,-
rental,rented,-,Puchong,Taman Puchong Intan,Opal Residence,Malaysian Only,1600,,,-,,3,2,1045,Partially Furnished,Condominium,-,-,-,LRT Puchong Perdana | IOI Mall Puchong | SetiaWalk Puchong | Columbia Asia Hospital Puchong | LDP Highway,https://www.haniproperties.com/images/unitpic/opalresidenceADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Opal Residence, Taman Puchong Intan. Price: RM1600. Ref: ADL",13/7/2026,https://telegram.me/adiblisting/8161,Immediate,ADL,-
rental,rented,-,Seri Kembangan,Serdang Jaya,Green Park Residence,-,1400,,,-,,3,2,1064,Partially Furnished,Condominium,-,-,-,Serdang KTM Station | The Mines Shopping Mall | AEON Taman Equine | UPM (Universiti Putra Malaysia) | SILK Highway,https://www.haniproperties.com/images/unitpic/greenparkresidenceADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Green Park Residence, Serdang Jaya. Price: RM1400. Ref: ADL",13/7/2026,https://telegram.me/adiblisting/8152,Immediate,ADL,-
rental,rented,-,Puchong,Bandar Puteri Puchong,Koi Tropika,-,1650,,,-,,3,2,1000,Fully Furnished,Condominium,-,-,-,Bandar Puteri LRT | IOI Mall Puchong | Koi Kinrara | Giant Hypermarket Puchong | LDP Highway,https://www.haniproperties.com/images/unitpic/koitropikaADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Koi Tropika, Bandar Puteri Puchong. Price: RM1650. Ref: ADL",12/7/2026,https://telegram.me/adiblisting/8081,Immediate,ADL,-
rental,rented,-,Cheras,Taman Shamelin Perkasa,Apartment Arena Shamelin,Local & Foreign Tenants Welcome,1500,,,-,,3,2,1100,Fully Furnished,Apartment,-,-,-,MRT Maluri | LRT Pandan Jaya | 1 Shamelin Shopping Mall | AEON Taman Maluri | Pantai Hospital Cheras,https://www.haniproperties.com/images/unitpic/apartmentarenashamelinADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Apartment Arena Shamelin, Taman Shamelin Perkasa. Price: RM1500. Ref: ADL",12/7/2026,https://telegram.me/adiblisting/8025,Aug-26,ADL,-
rental,rented,-,Klang,Bandar Bukit Tinggi,TRIO by Setia,-,2000,-,-,-,2,3,2,861,Fully Furnished,Service Residence,-,-,-,LRT3 Klang Jaya Station | AEON Bukit Tinggi Shopping Centre | Hospital Tengku Ampuan Rahimah | KESAS Highway,https://www.haniproperties.com/images/unitpic/triobysetiaMMN/pic1.jpg,"Hi Hani, I'm interested in the unit rental at TRIO by Setia, Bandar Bukit Tinggi. Price: RM2000. Ref: MMN",24/7/2026,https://t.me/AniListings/3076,After 15 August 2026,MMN,-
rental,rented,-,Puncak Alam,Pusat Perdagangan Alam Jaya,Sentrovue Apartment,-,1000,,,-,,3,2,842,Partially Furnished,Service Residence,-,-,-,Lotus's Puncak Alam | Eco Grandeur | UiTM Puncak Alam Campus | LATAR Expressway | Guthrie Corridor Expressway (GCE),https://www.haniproperties.com/images/unitpic/sentrovueapartmentADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Sentrovue Apartment, Pusat Perdagangan Alam Jaya. Price: RM1000. Ref: ADL",11/7/2026,https://telegram.me/adiblisting/8009,Immediate,ADL,-
rental,rented,-,Kuala Lumpur,"OUG, Bukit Jalil",Platinum OUG Residence,Malaysian Only | Long Term Tenancy Preferred,1500,,,-,,3,2,1200,Partially Furnished,Condominium,-,-,-,Muhibbah LRT Station | Pavilion Bukit Jalil | OUG Plaza | Pearl Point Shopping Mall | MRR2,https://www.haniproperties.com/images/unitpic/platinumougresidenceADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Platinum OUG Residence, OUG, Bukit Jalil. Price: RM1500. Ref: ADL",11/7/2026,https://telegram.me/adiblisting/7977,7/9/2026,ADL,-
rental,rented,-,Rawang,Gamuda Gardens,GAIA Residences,Malaysian Only,1500,,,-,,2,1,550,Fully Furnished,Service Residence,-,-,-,Rawang KTM Station | Kuang KTM Station | AEON Rawang | Gardens Square | Guthrie Corridor Expressway (GCE),https://www.haniproperties.com/images/unitpic/gaiaresidencesADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at GAIA Residences, Gamuda Gardens. Price: RM1500. Ref: ADL",11/7/2026,https://telegram.me/adiblisting/7986,Immediate,ADL,-
rental,rented,-,Ampang,Pandan Indah,Taman Bakti Flat,-,1300,,,-,,2,1,452,-,Flat,-,-,-,LRT Pandan Indah | Mid Point Shopping Centre | Axis Atrium Mall | MRR2 Highway | AKLEH Highway,https://www.haniproperties.com/images/unitpic/tamanbaktiflatEX/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Taman Bakti Flat, Pandan Indah. Price: RM1300. Ref: EX",10/7/2026,https://telegram.me/RumahSewaKLSlgrBelowRM2000/28023,Immediate,EX,-
subsale,booked,-,Puchong,Saujana Puchong,Saujana Puchong,Bumi Lot,750000,750000,,3194,,7,5,3350,-,Terrace,Leasehold,-,-,Taman Perindustrian Puchong MRT | IOI Mall Puchong | Giant Puchong | LDP Expressway | KESAS Highway,https://www.haniproperties.com/images/unitpic/saujanapuchongEXP/pic1.jpg,"Hi Hani, I'm interested in the subsale unit at Saujana Puchong, Saujana Puchong. Price: RM750000. Ref: EXP",10/7/2026,https://telegram.me/extremeproperty_listing/19591,-,EXP,-
rental,rented,-,Puchong,Bandar Bukit Puchong 2,Pangsapuri Cempaka (Bukit Puchong 2),Family/Couple Preferred,750,,,-,,3,2,700,Unfurnished,Apartment,-,-,-,MRT Putra Permai | Tesco Extra Bukit Puchong | Hospital Serdang | LDP Highway | SILK Highway,https://www.haniproperties.com/images/unitpic/pangsapuricempakabukitpuchong2NS/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Pangsapuri Cempaka (Bukit Puchong 2), Bandar Bukit Puchong 2. Price: RM750. Ref: NS",10/7/2026,https://telegram.me/rumahsewajualbelikldanselangor/11583,-,NS,-
rental,rented,-,Ampang,Taman Bukit Indah,Taman Bukit Indah,-,1200,,,-,,3,1,800,Unfurnished,Apartment,-,-,-,LRT Ampang | Ampang Point Shopping Centre | Aik Sing Supermarket | KPJ Ampang Puteri Hospital | MRR2 Highway,https://www.haniproperties.com/images/unitpic/tamanbukitindahEX/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Taman Bukit Indah, Taman Bukit Indah. Price: RM1200. Ref: EX",9/7/2026,https://telegram.me/RumahSewaKLSlgrBelowRM2000/27933,-,EX,-
rental,rented,-,Sentul,Taman Dato Senu,Sentul Utama Condominium,Muslim Only | No Pets Owner,1700,,,-,,3,2,877,Fully Furnished,Condominium,-,-,-,LRT Sentul Timur | Giant Sentul | KPJ Tawakkal Specialist Hospital | DUKE Highway,https://www.haniproperties.com/images/unitpic/sentulutamacondominiumEX/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Sentul Utama Condominium, Taman Dato Senu. Price: RM1700. Ref: EX",9/7/2026,https://telegram.me/RumahSewaKLSlgrBelowRM2000/27960,Immediate,EX,-
rental,rented,-,Sentul,Sentul,Sentul Point Suites,-,2000,,,-,,3,2,1152,Partially Furnished,Service Residence,-,-,-,Sentul KTM Station | Sunway Putra Mall | KPJ Sentul Specialist Hospital | Hospital Kuala Lumpur (HKL) | DUKE Highway,https://www.haniproperties.com/images/unitpic/sentulpointsuitesADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Sentul Point Suites, Sentul. Price: RM2000. Ref: ADL",9/7/2026,https://telegram.me/adiblisting/7839,Sep-26,ADL,
rental,rented,-,Sentul,Sentul Point,Sentul Point Suite Apartment,-,1800,,,-,,2,2,750,Fully Furnished,Service Residence,-,-,-,LRT Sentul Timur | Sunway Putra Mall | Hospital Kuala Lumpur | DUKE Highway,https://www.haniproperties.com/images/unitpic/sentulpointsuiteapartmentEX/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Sentul Point Suite Apartment, Sentul Point. Price: RM1800. Ref: EX",9/7/2026,https://telegram.me/RumahSewaKLSlgrBelowRM2000/27973,-,EX,-
rental,rented,-,Puchong,Puchong South,O2 Residence,Malaysian Only,1500,,,-,,2,2,1303,Partially Furnished,Condominium,-,-,-,Puchong Prima LRT Station | IOI Mall Puchong | SetiaWalk Puchong | LDP Highway | MEX Highway,https://www.haniproperties.com/images/unitpic/o2residenceADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at O2 Residence, Puchong South. Price: RM1500. Ref: ADL",9/7/2026,https://telegram.me/adiblisting/7864,Oct-26,ADL,
rental,rented,-,Ampang,Pandan Jaya,Flat Taman Bakti,-,1300,,,-,,2,1,452,-,Flat,-,-,-,LRT Pandan Indah | Axis Atrium Pandan Jaya | Tesco Ampang | Hospital Ampang | MRR2 Highway,https://www.haniproperties.com/images/unitpic/flattamanbaktiEX/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Flat Taman Bakti, Pandan Jaya. Price: RM1300. Ref: EX",9/7/2026,https://telegram.me/RumahSewaKLSlgrBelowRM2000/27927,-,EX,-
rental,rented,-,Kuala Lumpur,Desa Pandan,Residensi Pandanmas 2,-,1850,,,-,,3,2,800,Partially Furnished,Service Residence,-,-,-,Kampung Pandan MRT Station | TRX | Sunway Velocity Mall | MyTown Shopping Centre,https://www.haniproperties.com/images/unitpic/residensipandanmas2EX/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Residensi Pandanmas 2, Desa Pandan. Price: RM1850. Ref: EX",8/7/2026,https://telegram.me/RumahSewaKLSlgrBelowRM2000/27834,-,EX,
rental,rented,-,Ampang,Taman Putra,Taman Putra,-,1700,,,-,,3,3,800,Partially Furnished,Terrace,-,-,-,AEON BiG Ampang | Lotus's Ampang | Spectrum Shopping Mall,https://www.haniproperties.com/images/unitpic/tamanputraEX/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Taman Putra, Taman Putra. Price: RM1700. Ref: EX",7/7/2026,https://telegram.me/RumahSewaKLSlgrBelowRM2000/27806,-,EX,
rental,rented,-,Kuala Lumpur,Wangsa Maju,Sri Jelatek,-,1850,,,-,,3,2,1226,Fully Furnished,Condominium,-,-,-,Sri Rampai LRT | Jelatek LRT | Wangsa Walk Mall | AEON Big Wangsa Maju | DUKE Highway,https://www.haniproperties.com/images/unitpic/srijelatekADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Sri Jelatek, Wangsa Maju. Price: RM1850. Ref: ADL",7/7/2026,https://telegram.me/adiblisting/7780,Aug-26,ADL,
rental,rented,-,Shah Alam,Setia Alam,Seri Kasturi (Malay Only),,1300,,,-,,3,2,950,Unfurnished,Condominium,-,-,-,Setia City Mall | Setia City Convention Centre | Lotus's Setia Alam | NKVE Highway,https://www.haniproperties.com/images/unitpic/serikasturimalayonlyADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Seri Kasturi (Malay Only), Setia Alam. Price: RM1300. Ref: ADL",7/7/2026,https://telegram.me/adiblisting/7699,Immediate,ADL,
rental,rented,-,Bukit Jalil,Bukit Jalil,Residensi Jalilmas (Malaysian Only),,1250,,,-,,3,1,800,Partially Furnished,Condominium,-,-,-,Pavilion Bukit Jalil | Bukit Jalil Recreational Park | MEX Highway | KESAS Highway,https://www.haniproperties.com/images/unitpic/residensijalilmasmalaysianonlyADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Residensi Jalilmas (Malaysian Only), Bukit Jalil. Price: RM1250. Ref: ADL",7/7/2026,https://telegram.me/adiblisting/7685,Immediate,ADL,
rental,rented,-,Kepong,Kepong,Ixora Apartment,,1200,,,-,,3,2,1035,Fully Furnished,Apartment,-,-,-,AEON Metro Prima | Lotus's Kepong | Kepong Village Mall | MRR2,https://www.haniproperties.com/images/unitpic/ixoraapartmentADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Ixora Apartment, Kepong. Price: RM1200. Ref: ADL",7/7/2026,https://telegram.me/adiblisting/7647,Immediate,ADL,
rental,rented,-,Kuala Lumpur,Wangsa Maju,Desa Putra Condominium (Block A),Malaysian Only | Family Only,2800,,,-,,4,2,1300,Fully Furnished,Condominium,-,-,-,Sri Rampai LRT Station | Wangsa Maju LRT Station | Wangsa Walk Mall | AEON Alpha Angle | Columbia Asia Hospital Setapak,https://www.haniproperties.com/images/unitpic/desaputracondominiumblockaADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Desa Putra Condominium (Block A), Wangsa Maju. Price: RM2800. Ref: ADL",7/7/2026,https://telegram.me/adiblisting/7803,Aug-26,ADL,
rental,rented,-,Subang Jaya,SS12,Single Storey Terrace SS12 (Malaysian Only),,2200,,,-,,3,2,1800,Partially Furnished,Terrace,-,-,-,Subang Jaya KTM & LRT Station | Subang Parade | Sunway Pyramid | Taylor's University Lakeside Campus | Federal Highway,https://www.haniproperties.com/images/unitpic/singlestoreyterracess12malaysianonlyADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Single Storey Terrace SS12 (Malaysian Only), SS12. Price: RM2200. Ref: ADL",6/7/2026,https://telegram.me/adiblisting/7607,Immediate,ADL,
rental,rented,-,Sentul,Sentul,Maxim Citylights,,2200,,,-,,3,2,1009,Fully Furnished,Service Residence,-,-,-,DUKE Highway | MRR2 | Jalan Ipoh | Jalan Gombak,https://www.haniproperties.com/images/unitpic/maximcitylightsEX/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Maxim Citylights, Sentul. Price: RM2200. Ref: EX",6/7/2026,https://telegram.me/RumahSewaKLSlgrBelowRM2000/27724,1/8/2026,EX,
rental,rented,-,Cyberjaya / Putrajaya,Cyber 11,Lakefront Homes,,2000,,,-,,3,2,1010,Fully Furnished,Apartment,-,-,-,Tamarind Square | University of Cyberjaya | MMU Cyberjaya | MEX Highway | ELITE Highway,https://www.haniproperties.com/images/unitpic/lakefronthomesMMN/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Lakefront Homes, Cyber 11. Price: RM2000. Ref: MMN",6/7/2026,https://telegram.me/AniListings/3040,1/6/2026,MMN,
rental,rented,-,Kuala Lumpur,Segambut,United Point Residences,,2200,,,-,,3,2,1000,Fully Furnished,Apartment,-,-,-,United Point Mall | AEON Metro Prima | Lotus's Kepong | Hospital Kuala Lumpur,https://www.haniproperties.com/images/unitpic/unitedpointresidencesADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at United Point Residences, Segambut. Price: RM2200. Ref: ADL",5/7/2026,https://telegram.me/adiblisting/7531,Immediate,ADL,
rental,rented,-,Cheras,Maluri,Miharja Apartment,,2000,,,-,,3,2,860,Partially Furnished,Apartment,-,-,-,LRT & MRT Maluri | Sunway Velocity Mall | AEON Maluri | HUKM | IKEA Cheras,https://www.haniproperties.com/images/unitpic/miharjaapartmentEX/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Miharja Apartment, Maluri. Price: RM2000. Ref: EX",5/7/2026,https://telegram.me/RumahSewaKLSlgrBelowRM2000/27715,Immediate,EX,
rental,rented,-,Setapak,Setapak,KL Traders Square,,2000,,,-,,4,2,918,Partially Furnished,Apartment,-,-,-,Setapak Central Mall | Melawati Mall | Columbia Asia Hospital Setapak | TAR UMT | MRR2,https://www.haniproperties.com/images/unitpic/kltraderssquareADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at KL Traders Square, Setapak. Price: RM2000. Ref: ADL",5/7/2026,https://telegram.me/adiblisting/7499,1/8/2026,ADL,
