listing_type	area	zone	project_name	price	bed	bath	size	furnishing	type	tenure	room_type	bath_type	anchors	image	wa_text
unit	Seri Kembangan	Taman Equine	Villa Park	1600.0	4	2	1107	Partially Furnished	Apartment				Swimming Pool • Gymnasium • Multipurpose Hall • Children's Playground • 24-Hour Security • Covered Parking		Hi Hani, I'm interested in the unit rental at Villa Park, Taman Equine.
unit	Cyberjaya	Symphony Hills	Verdi Eco-dominiums	4000.0	3	3	1398	Fully Furnished	Condominium				D'Pulze Shopping Mall • IOI City Mall • Multimedia University (MMU) • Putrajaya Hospital • Lotus's Cyberjaya • MEX Highway		Hi Hani, I'm interested in the unit rental at Verdi Eco-dominiums, Symphony Hills.
unit	Kuala Lumpur	KLCC	UBN Apartment	4900.0	1	1	721	Fully Furnished	Apartment				Restaurants • Cafes • Convenience Stores		Hi Hani, I'm interested in the unit rental at UBN Apartment, KLCC.
unit	Shah Alam	Denai Alam	Tulip Residence Denai Alam	1600.0	1	1	450	Fully Furnished	Apartment				Guthrie Corridor Expressway, DASH Highway		Hi Hani, I'm interested in the unit rental at Tulip Residence Denai Alam, Denai Alam.
unit	Kuala Lumpur	TTDI	TTDI Jalan Tun Mohd Fuad Dua Ground Floor Shop	18000.0	0	0	1700	Unfurnished	Commercial				MRT TTDI • 1 Utama Shopping Centre • University of Malaya • Damansara Specialist Hospital • Village Grocer Bangsar Village • SPRINT Highway		Hi Hani, I'm interested in the unit rental at TTDI Jalan Tun Mohd Fuad Dua Ground Floor Shop, TTDI.
unit	Seri Kembangan	Equine Park	Trio Permai	1300.0	0	1	450	Fully Furnished	SOHO				Corner Unit • Covered Parking Near Lift Lobby		Hi Hani, I'm interested in the unit rental at Trio Permai, Equine Park.
unit	Klang	Bandar Bukit Tinggi	TRIO by Setia	1800.0	2	1	624	Fully Furnished	Service Residence				AEON Bukit Tinggi Shopping Centre • KESAS		Hi Hani, I'm interested in the unit rental at TRIO by Setia, Bandar Bukit Tinggi.
unit	Ampang	Bukit Antarabangsa	Trinity Wellnessa	2450.0	3	2	1008	Partially Furnished	Condominium				LRT Sri Rampai • KL East Mall • IIUM Gombak • Ampang Puteri Specialist Hospital • AEON Big Ampang • MRR2		Hi Hani, I'm interested in the unit rental at Trinity Wellnessa, Bukit Antarabangsa.
unit	Ampang	Bukit Antarabangsa	Trinity Wellnessa	3600.0	3	2	1008	Fully Furnished	Condominium				MRT Taman Midah • Melawati Mall • SK Hulu Kelang • Hospital Ampang • Giant Bukit Antarabangsa • MRR2		Hi Hani, I'm interested in the unit rental at Trinity Wellnessa, Bukit Antarabangsa.
unit	Kajang	Taman Bukit Mewah	Tiara ParkHomes	1400.0	4	3	1269	Partially Furnished	Condominium				Kajang MRT • Metro Point Kajang • New Era University College • Hospital Kajang • Tesco Kajang • SILK Highway		Hi Hani, I'm interested in the unit rental at Tiara ParkHomes, Taman Bukit Mewah.
unit	Kuala Lumpur	Taman Desa	Tiara Faber	2100.0	3	2	1250	Partially Furnished	Condominium				KTM Mid Valley • Mid Valley Megamall • No • Hospital Universiti Kuala Lumpur • Giant Kuchai Lama • Federal Highway		Hi Hani, I'm interested in the unit rental at Tiara Faber, Taman Desa.
unit	Kajang	Taman East Semenyih	Tiara East Residence 2	1150.0	3	2	900	Partially Furnished	Apartment				No • No • UNITEN • No • ECONSAVE Semenyih • LEKAS Highway		Hi Hani, I'm interested in the unit rental at Tiara East Residence 2, Taman East Semenyih.
unit	Petaling Jaya	Damansara Damai	The Zizz	1700.0	3	2	700	Fully Furnished	Service Residence						Hi Hani, I'm interested in the unit rental at The Zizz, Damansara Damai.
unit	Kuala Lumpur	Bukit Bintang	The Robertson	3000.0	2	1	624	Fully Furnished	Condominium				24-Hour Security • Swimming Pool • Gymnasium • Jacuzzi • Children's Playground • Multipurpose Hall • BBQ Area • Landscaped Garden • Surau • Covered Parking		Hi Hani, I'm interested in the unit rental at The Robertson, Bukit Bintang.
unit	Kuala Lumpur	Bukit Bintang	The Robertson	3300.0	2	1	689	Fully Furnished	Condominium				Swimming Pool • Playground • Gymnasium • Sauna • Barbeque Area • Multipurpose Hall • Jogging Track • Security		Hi Hani, I'm interested in the unit rental at The Robertson, Bukit Bintang.
unit	Petaling Jaya	Ara Damansara	The Potpourri	2950.0	2	1	755	Fully Furnished	Service Residence				Ara Damansara MRT • Citta Mall • SMK Ara Damansara • Ara Damansara Medical Centre • Lotus's Ara Damansara • LDP Highway		Hi Hani, I'm interested in the unit rental at The Potpourri, Ara Damansara.
unit	Petaling Jaya	Damansara Perdana	The Paxtonz	1600.0	0	1	351	Fully Furnished	Studio				Bandar Utama MRT Station • Hextar World Mall • SEGi University • Klinik Kesihatan Damansara Perdana • Village Grocer One Utama • LDP		Hi Hani, I'm interested in the unit rental at The Paxtonz, Damansara Perdana.
unit	Cheras	Taman Connaught	The Mark Residence	2800.0	4	2	1166	Fully Furnished	Condominium				EkoCheras Mall • UCSI University • Columbia Asia Hospital Cheras • AEON Big Cheras Selatan • SUKE Highway		Hi Hani, I'm interested in the unit rental at The Mark Residence, Taman Connaught.
unit	Puchong	Puchong Perdana	The Heron Residency	1400.0	3	2	1007	Fully Furnished	Condominium				LRT Pusat Bandar Puchong • IOI Mall Puchong • Multimedia University (Puchong) • KPJ Puchong Specialist Hospital • Giant Puchong • LDP Highway		Hi Hani, I'm interested in the unit rental at The Heron Residency, Puchong Perdana.
unit	Seri Kembangan	Mines Resort City	The Heritage Residence	1350.0	1	1	480	Fully Furnished	Service Residence				KTM Serdang • The Mines Shopping Mall • Universiti Putra Malaysia • Hospital Putrajaya • AEON Big Seri Kembangan • SILK Highway		Hi Hani, I'm interested in the unit rental at The Heritage Residence, Mines Resort City.
unit	Ampang	Ampang	The Elements	2300.0	2	1	820	Fully Furnished	Service Residence				LRT Ampang Park • Ampang Point • No • Gleneagles Kuala Lumpur • Village Grocer • AKLEH		Hi Hani, I'm interested in the unit rental at The Elements, Ampang.
unit	Kuala Lumpur	KLCC	The Corinthian	4500.0	3	2	1500	Fully Furnished	Condominium				MRT Ampang Park • KLCC • No • Prince Court Medical Centre • No • AKLEH		Hi Hani, I'm interested in the unit rental at The Corinthian, KLCC.
unit	Kuala Lumpur	Segambut	The Birch	1700.0	2	2	600	Partially Furnished	Service Residence				MRT Putra • Sunway Putra Mall • SMK Segambut • KPJ Sentosa KL • AEON Big Kepong • DUKE Highway		Hi Hani, I'm interested in the unit rental at The Birch, Segambut.
unit	Cheras	Taman Connaught	The Annex @ Medan Connaught	1000.0	4	2	958	Fully Furnished	Service Residence				Swimming Pool • Gymnasium • Sauna • Playground • Security 24 Jam • Cooking Allowed • Internet Included		Hi Hani, I'm interested in the unit rental at The Annex @ Medan Connaught, Taman Connaught.
unit	Ampang	Tasik Permai	Tasik Permai Shop Lot	4000.0	0	0	2000	Unfurnished	Commercial				Pandan Jaya LRT Station • Galaxy Mall Ampang • SMK Tasik Permai • Hospital Ampang • AEON Big Ampang • SUKE Highway		Hi Hani, I'm interested in the unit rental at Tasik Permai Shop Lot, Tasik Permai.
unit	Cheras	Taman Midah	Tasik Heights Apartment	1500.0	3	2	854	Unfurnished	Apartment				Near MRT / LRT / KTM Stations • Close to daily amenities and conveniences • Family-friendly environment		Hi Hani, I'm interested in the unit rental at Tasik Heights Apartment, Taman Midah.
unit	Cheras	Taman Midah	Tasik Heights Apartment	1550.0	3	2	854	Unfurnished	Apartment				MRT Taman Midah • Leisure Mall • UTAR Setapak • Hospital Cheras • Giant Cheras • Cheras-Kajang Expressway (CKE)		Hi Hani, I'm interested in the unit rental at Tasik Heights Apartment, Taman Midah.
unit	Cyberjaya	Cyberjaya	Tamarind Suites	1700.0	1	1	702	Fully Furnished	Service Residence				Swimming Pool, Gymnasium, Jacuzzi, Sauna, Basketball Court, Games Room, Reading Room, Karaoke Room, Theater Room, 24 Hours Security		Hi Hani, I'm interested in the unit rental at Tamarind Suites, Cyberjaya.
unit	Kajang	Taman Sri Tanjung	Taman Sri Tanjung Jalan Sri Tanjung Single Storey Terrace	1300.0	3	2	1400	Unfurnished	Landed				Semenyih Sentral • Econsave Semenyih • Universiti Kebangsaan Malaysia (UKM) • Klinik Kesihatan Semenyih • Mydin Semenyih • LEKAS Highway		Hi Hani, I'm interested in the unit rental at Taman Sri Tanjung Jalan Sri Tanjung Single Storey Terrace, Taman Sri Tanjung.
unit	Sepang	Bagan Lalang	Taman Sri Bayu Single Storey Semi-D	1200.0	3	2	2136	Unfurnished	Landed				No • No • No • No • No • LEKAS		Hi Hani, I'm interested in the unit rental at Taman Sri Bayu Single Storey Semi-D, Bagan Lalang.
unit	Sungai Buloh	Kundang Jaya	Taman Scientex Kundang Jaya 2-Storey Terrace	1500.0	4	3	1621	Partially Furnished	Landed				KTM Kuang • AEON Rawang • No • KPJ Rawang Specialist Hospital • Econsave Kundang • LATAR Expressway		Hi Hani, I'm interested in the unit rental at Taman Scientex Kundang Jaya 2-Storey Terrace, Kundang Jaya.
unit	Puchong	Taman Putra Perdana	Taman Putra Perdana Townhouse	2200.0	3	3	1650	Partially Furnished	Landed				Kinrara BK5 LRT • IOI Mall Puchong • No • Columbia Asia Hospital Puchong • Tesco Puchong • Lebuhraya Damansara–Puchong (LDP)		Hi Hani, I'm interested in the unit rental at Taman Putra Perdana Townhouse, Taman Putra Perdana.
unit	Kajang	Seksyen 3 Kajang	Taman Puncak Saujana Seksyen 3 2-Storey Terrace	1700.0	4	3	1540	Partially Furnished	Landed				Hospital Kajang • No • No • Hospital Kajang • No • Grand Saga		Hi Hani, I'm interested in the unit rental at Taman Puncak Saujana Seksyen 3 2-Storey Terrace, Seksyen 3 Kajang.
unit	Puchong	Puchong Utama	Taman Perindustrian Puchong Utama Jalan Utama 1/1 1.5 Storey Factory	6000.0	–	–	2000	Unfurnished	Landed				– • IOI Mall Puchong • – • – • – • LDP Highway		Hi Hani, I'm interested in the unit rental at Taman Perindustrian Puchong Utama Jalan Utama 1/1 1.5 Storey Factory, Puchong Utama.
unit	Klang	Taman Perindustrian Air Hitam	Taman Perindustrian Air Hitam Jalan Permata 2/KS9 1.5 Storey Semi-D Factory	18500.0	–	–	7318	Unfurnished	Landed				KESAS Highway • West Coast Expressway (WCE) • ELITE Highway • SKVE Highway		Hi Hani, I'm interested in the unit rental at Taman Perindustrian Air Hitam Jalan Permata 2/KS9 1.5 Storey Semi-D Factory, Taman Perindustrian Air Hitam.
unit	Sepang	Sungai Pelek	Taman Pantai Sepang Putra Jalan Raja Udang 4 2 Storey Terrace	1500.0	5	3	-	Partially Furnished	Landed				- • - • - • Klinik Kesihatan Sungai Pelek • Pasaraya Besar CLC Sungai Pelek • -		Hi Hani, I'm interested in the unit rental at Taman Pantai Sepang Putra Jalan Raja Udang 4 2 Storey Terrace, Sungai Pelek.
unit	Klang	Taman Maznah	Taman Maznah	1500.0	3	2	1540	Unfurnished	Landed				–		Hi Hani, I'm interested in the unit rental at Taman Maznah, Taman Maznah.
unit	Kajang	Taman Maju Satu	Taman Maju Satu 2 Storey Terrace	1500.0	3	2	1800	Partially Furnished	Landed				Kajang MRT Station • Kajang KTM Station • LEKAS Highway • SILK Highway		Hi Hani, I'm interested in the unit rental at Taman Maju Satu 2 Storey Terrace, Taman Maju Satu.
unit	Selayang	Taman Greenwood	Taman Greenwood Gombak 1 Tingkat Terrace	2200.0	3	2	1600	Partially Furnished	Landed				Batu Caves KTM Station • MRR2 • DUKE Highway		Hi Hani, I'm interested in the unit rental at Taman Greenwood Gombak 1 Tingkat Terrace, Taman Greenwood.
unit	Selayang	Batu Caves	Taman Greenwood 1-Storey Terrace	2200.0	3	2	1600	Partially Furnished	Landed				KTM Batu Caves • AEON Big Batu Caves • TAR UC • Selayang Hospital • Lotus's Selayang • DUKE Highway		Hi Hani, I'm interested in the unit rental at Taman Greenwood 1-Storey Terrace, Batu Caves.
unit	Klang	Meru	Taman Desa Bukit Nilam 2-Storey Terrace	1500.0	4	2	1300	Unfurnished	Landed				Padang Jawa KTM Station • Klang Parade • SK Meru 2 • Klinik Kesihatan Meru • ECONSAVE Meru • LATAR Expressway		Hi Hani, I'm interested in the unit rental at Taman Desa Bukit Nilam 2-Storey Terrace, Meru.
unit	Kajang	Taman Bukit Mahkota	Taman Bukit Mahkota 2-Storey Terrace	1700.0	4	3	1500	Partially Furnished	Landed				KTM Kajang • AEON Kajang • UKM • Hospital Kajang • Mydin Kajang • LEKAS		Hi Hani, I'm interested in the unit rental at Taman Bukit Mahkota 2-Storey Terrace, Taman Bukit Mahkota.
unit	Kajang	Taman Bukit Kenangan	Taman Bukit Kenangan	800.0	3	2	680	Partially Furnished	Flat						Hi Hani, I'm interested in the unit rental at Taman Bukit Kenangan, Taman Bukit Kenangan.
unit	Shah Alam	Seksyen 13	Tadisma Business Park	8000.0	0	0	1540	Unfurnished	Commercial				Shah Alam KTM • AEON Mall Shah Alam • Management & Science University (MSU) • MSU Medical Centre • Giant Seksyen 13 • Federal Highway		Hi Hani, I'm interested in the unit rental at Tadisma Business Park, Seksyen 13.
unit	Kajang	Taman Sutera	Sutera Niaga 8	18000.0	0	0	5801	Unfurnished	Commercial				MRT Kajang • Kajang MACH • UKM • KPJ Kajang Specialist Hospital • Mydin Kajang • SILK Highway		Hi Hani, I'm interested in the unit rental at Sutera Niaga 8, Taman Sutera.
unit	Shah Alam	Padang Jawa	Suria Jaya e-Sofo	1200.0	2	2	450	PartialFurnished	Service Residence				KTM Padang Jawa • Central i-City Mall • UiTM Shah Alam • Hospital Shah Alam • – • Federal Highway		Hi Hani, I'm interested in the unit rental at Suria Jaya e-Sofo, Padang Jawa.
unit	Sepang	Kota Warisan	Suria Industrial Park	30000.0	0	0	15000	Unfurnished	Commercial				ERL Salak Tinggi • No • No • No • No • ELITE Highway		Hi Hani, I'm interested in the unit rental at Suria Industrial Park, Kota Warisan.
unit	Petaling Jaya	Damansara Damai	Suria Damansara	2800.0	4	2	1832	Partially Furnished	Condominium				LRT Lembah Subang • Paradigm Mall • No • Kelana Jaya Medical Centre • No • NKVE		Hi Hani, I'm interested in the unit rental at Suria Damansara, Damansara Damai.
unit	Selayang	Sunway Batu Caves	Sunway Batu Caves	1300.0	3	2	700	Unfurnished	Apartment				KTM Batu Caves • No • No • Hospital Selayang • Giant Batu Caves • DUKE Highway		Hi Hani, I'm interested in the unit rental at Sunway Batu Caves, Sunway Batu Caves.
unit	Cheras	Bandar Sri Permaisuri	Suasana Lumayan	2200.0	3	2	1142	Fully Furnished	Condominium				MRT Taman Pertama • Viva Home Mall • UKM • HUKM • AEON Big Cheras • Grand Saga		Hi Hani, I'm interested in the unit rental at Suasana Lumayan, Bandar Sri Permaisuri.
unit	Kuala Lumpur	Segambut	Sri Putramas 1	1700.0	3	2	1050	Fully Furnished	Condominium				Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque Area, Minimart, Multipurpose Hall, Club House, Jogging Track, Tennis Court, Squash Court		Hi Hani, I'm interested in the unit rental at Sri Putramas 1, Segambut.
unit	Kuala Lumpur	Segambut	Sri Putramas	1700.0	3	2	1050	Fully Furnished	Condominium				Jalan Ipoh KTM • Hartamas Shopping Centre • SK Segambut • HKL • Giant Kepong • DUKE Highway		Hi Hani, I'm interested in the unit rental at Sri Putramas, Segambut.
unit	Kepong	Segambut	Sri Putramas	1700.0	3	2	1050	Fully Furnished	Condominium				Segambut KTM • Publika • DUKE Highway		Hi Hani, I'm interested in the unit rental at Sri Putramas, Segambut.
unit	Puchong	Puchong Jaya	Sri Kenanga Apartment	1100.0	3	2	915	Partially Furnished	Apartment				Kawalan Keselamatan 24 Jam • Taman Permainan • Jogging Track		Hi Hani, I'm interested in the unit rental at Sri Kenanga Apartment, Puchong Jaya.
unit	Kajang	Taman Sepakat Indah	Sri Ixora Apartment	1350.0	3	2	1028	Fully Furnished	Apartment				Kajang KTM • IOI City Mall • UKM • No • 99 Speedmart • SILK Highway		Hi Hani, I'm interested in the unit rental at Sri Ixora Apartment, Taman Sepakat Indah.
unit	Kuala Lumpur	Segambut	Sri Intan 1	1500.0	3	2	856	Fully Furnished	Apartment				24-Hour Security • Swimming Pool • Gymnasium • Badminton Court • Playground • Multipurpose Hall • Surau • Covered Parking		Hi Hani, I'm interested in the unit rental at Sri Intan 1, Segambut.
unit	Shah Alam	Shah Alam	Sri Alam Condo	4700.0	6	6	2959	Fully Furnished	Condominium				KTM Shah Alam (~5km) • AEON Shah Alam (~6km) • UiTM Shah Alam (~6km) • Hospital Shah Alam (~5km) • Giant Shah Alam (~5km) • KESAS (~3km)		Hi Hani, I'm interested in the unit rental at Sri Alam Condo, Shah Alam.
unit	Cheras	Pudu	Skyline KL Condominium	3300.0	3	2	850	Fully Furnished	Condominium				LRT Pudu • LaLaport BBCC • University of Malaya • Hospital Kuala Lumpur • Mydin Pudu • KL-Seremban Highway		Hi Hani, I'm interested in the unit rental at Skyline KL Condominium, Pudu.
unit	Sentul	Sentul	Sky Meridien	2500.0	2	2	800	Partially Furnished	Service Residence				Sentul LRT • Sunway Putra Mall • No • KPJ Tawakkal Specialist Hospital • No • DUKE Highway		Hi Hani, I'm interested in the unit rental at Sky Meridien, Sentul.
unit	Puchong	Bandar Puteri	Sinar Puchong Technology Park	16000.0	–	–	4900	Unfurnished	Office Space				LRT Bandar Puteri • IOI Mall Puchong • – • Columbia Asia Hospital Puchong • Hero Market Bandar Puteri • LDP Highway		Hi Hani, I'm interested in the unit rental at Sinar Puchong Technology Park, Bandar Puteri.
unit	Puchong	Puchong Perdana	Seroja Apartment	1100.0	3	2	738	Partially Furnished	Apartment				Gated & Guarded • 24 Hours Security • Swimming Pool • Playground • Jogging Track • Multipurpose Hall • Surau		Hi Hani, I'm interested in the unit rental at Seroja Apartment, Puchong Perdana.
unit	Puchong	Puchong Perdana	Seri Topaz	2000.0	3	3	1100	Fully Furnished	Condominium				Puchong Perdana LRT • IOI Mall Puchong • No • Columbia Asia Hospital Puchong • AEON Big Puchong Perdana • LDP		Hi Hani, I'm interested in the unit rental at Seri Topaz, Puchong Perdana.
unit	Shah Alam	Seksyen 26	Seri Hijauan	2000.0	3	2	1300	Fully Furnished	Apartment				Setia City Mall • SK HICOM • Hospital Shah Alam • KESAS		Hi Hani, I'm interested in the unit rental at Seri Hijauan, Seksyen 26.
unit	Shah Alam	Setia Alam	Seri Baiduri	1800.0	3	2	950	Fully Furnished	Apartment				Setia City Mall • Tenby International School Setia Alam • Columbia Asia Hospital Shah Alam • Giant Shah Alam • KESAS		Hi Hani, I'm interested in the unit rental at Seri Baiduri, Setia Alam.
unit	Sentul	Sentul	Sentul Village Condominium	1850.0	3	2	1050	Partially Furnished	Condominium				KTM Sentul • Sunway Putra Mall • No • Hospital Kuala Lumpur • Giant Sentul • DUKE Highway		Hi Hani, I'm interested in the unit rental at Sentul Village Condominium, Sentul.
unit	Kuala Lumpur	Brickfields	Sentral Suites	2300.0	0	0	450	Fully Furnished	Studio				Swimming Pool • Gymnasium • Playground • Multipurpose Hall • BBQ Area • Jacuzzi • Sauna • 24 Hours Security • Gated & Guarded • Direct Access to Facilities Floor		Hi Hani, I'm interested in the unit rental at Sentral Suites, Brickfields.
unit	Bangi	Bandar Baru Bangi	Sensory Tower B	1800.0	3	2	–	Partially Furnished	Service Residence				Kolam Renang • Gymnasium • Gelanggang Futsal • Parkir Berbumbung		Hi Hani, I'm interested in the unit rental at Sensory Tower B, Bandar Baru Bangi.
unit	Sepang	Sepang	Seni Residence Sunsuria Jalan Sunsuria 7 2.5 Storey Terrace	4000.0	4	4	2587	Fully Furnished	Landed				ERL Salak Tinggi • Mitsui Outlet Park KLIA • Xiamen University Malaysia • Klinik Kesihatan Salak Tinggi • TF Value Mart Salak Tinggi • ELITE Highway		Hi Hani, I'm interested in the unit rental at Seni Residence Sunsuria Jalan Sunsuria 7 2.5 Storey Terrace, Sepang.
unit	Shah Alam	Seksyen 23	Seksyen 23 2-Storey Terrace	2750.0	4	3	1400	Partially Furnished	Landed				AEON Big Shah Alam • Federal Highway • KESAS • Batu Tiga KTM • UiTM Shah Alam • Hospital Shah Alam		Hi Hani, I'm interested in the unit rental at Seksyen 23 2-Storey Terrace, Seksyen 23.
unit	Shah Alam	Damaisuria	Seiring Residensi @ Damaisuria	2200.0	4	3	992	Unfurnished	Apartment				Elmina Lakeside Mall (~2km) • Guthrie Corridor Expressway		Hi Hani, I'm interested in the unit rental at Seiring Residensi @ Damaisuria, Damaisuria.
unit	Shah Alam	Seksyen U6	Seiring Residensi	2800.0	4	2	885	Fully Furnished	Service Residence				– Kwasa Damansara MRT • Elmina Lakeside Mall • REAL International School Subang • Ara Damansara Medical Centre • Lotus's Mutiara Damansara • DASH Highway		Hi Hani, I'm interested in the unit rental at Seiring Residensi, Seksyen U6.
unit	Kuala Lumpur	Wangsa Maju	Seasons Garden Residence	1900.0	3	2	770	Fully Furnished	Condominium				Wangsa Maju LRT Station • Wangsa Walk Mall • SMK Wangsa Maju • Columbia Asia Hospital Setapak • Lotus's Wangsa Maju • MRR2		Hi Hani, I'm interested in the unit rental at Seasons Garden Residence, Wangsa Maju.
unit	Kuala Lumpur	Dutamas	Savvy Riana Dutamas	2100.0	2	2	722	Fully Furnished	Condominium				Covered walkway to train station; near shopping malls; major highways access		Hi Hani, I'm interested in the unit rental at Savvy Riana Dutamas, Dutamas.
unit	Kuala Lumpur	Segambut	Savvy @ Riana Dutamas	2200.0	3	2	911	Fully Furnished	Service Residence				Segambut KTM Station • Publika Shopping Gallery • SK Segambut • Klinik Kesihatan Segambut • No • DUKE Highway		Hi Hani, I'm interested in the unit rental at Savvy @ Riana Dutamas, Segambut.
unit	Kuala Lumpur	Segambut	Savvy @ Riana Dutamas	2200.0	3	2	911	Fully Furnished	Service Residence				KTM Segambut • Hartamas Shopping Centre • SK Segambut • Hospital Kuala Lumpur • Giant Dutamas • DUKE		Hi Hani, I'm interested in the unit rental at Savvy @ Riana Dutamas, Segambut.
unit	Kuala Lumpur	Taman Melawati	Saville Melawati Residence	1800.0	3	2	980	Unfurnished	Condominium				Wangsa Maju LRT • Melawati Mall • UIAM • Hospital Ampang • AEON Big Melawati • DUKE		Hi Hani, I'm interested in the unit rental at Saville Melawati Residence, Taman Melawati.
