Project,Area,Zone,Type,Bed,Bath,Size (sqft),Tenure,Price (RM),Installment (RM/mo),Rental Unfurnished,CF Unfurnished,Rental Partial,CF Partial,Rental Fully,CF Fully,Yield% Partial,Yield% Fully,CF Rating (Best Case),Cash Out (RM),Break-even Unfurnished (Year),Break-even Partial (Year),Break-even Fully (Year),5yr ROI%,10yr ROI%,20yr ROI%,Ann.Ret% 5yr,Ann.Ret% 10yr,Ann.Ret% 20yr,Exit Value 10yr (RM),Equity 10yr (RM),Equity Gain 10yr (RM),Cumulative CF Unfurnished 10yr (RM),Cumulative CF Partial 10yr (RM),Cumulative CF Fully 10yr (RM),Selling Cost 10yr (RM),Equity Gain 10yr Net of Selling Cost (RM),Rental Source,Date Added,Code,Source Link
2.5 Storey Terrace Taman Desa Gemilang,Kuala Lumpur,Gombak,2 Storey Terrace,5,6.0,6566,Leasehold (Bumi Lot + Rezab Melayu),1290000,5883,7050,1167,8200,2317,9250,3367,7.63,8.6,🟢 Strong,193500,4,3,3,144.9,359.9,933.3,29.0,36.0,46.7,1819672,889892,696392,140040,278040,404040,63777,632615,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",10/6/2026,EXP,https://telegram.me/extremeproperty_listing/18419
Taman Indah Jaya,Petaling Jaya / Damansara,Taman Indah Jaya,Landed,6,6.0,3800,Leasehold,695000,3169,4050,881,4750,1581,5350,2181,8.2,9.24,🟢 Strong,107300,4,3,3,137.9,346.7,903.7,27.6,34.7,45.2,980366,479359,372059,105720,189720,261720,35744,336315,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",10/7/2026,EXP,https://telegram.me/extremeproperty_listing/17164
Apartment Prima Saujana,Kuala Lumpur,Kepong,Apartment,3,2.0,1000,Leasehold,270000,1231,1850,619,2000,769,3000,1769,8.89,13.33,🟢 Strong,50100,4,4,2,52.8,168.4,463.5,10.6,16.8,23.2,329128,134474,84374,74280,92280,212280,13993,70381,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",28/3/2026,EXP,https://telegram.me/extremeproperty_listing/15909
Apartment Teratai,Puchong,Putra Perdana,Apartment,3,2.0,751,Leasehold,145000,661,950,289,1100,439,1650,989,9.1,13.66,🟢 Strong,33850,6,5,3,21.5,113.3,347.8,4.3,11.3,17.4,176754,72204,38354,34680,52680,118680,8904,29450,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.61/sqft, n=3) | Puchong | [Partial] Area PSF Avg, Strata all sizes (RM1.48/sqft, n=15) | Puchong | [Fully] Area PSF Avg, Strata all sizes (RM2.22/sqft, n=12) | Puchong | CORRECTED (audit 19/07/2026): Unfurnished 1200.0->950 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",10/4/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/1067
Magna Ville Condominium,Selayang,Selayang,Condominium,2,2.0,1001,Leasehold,289000,1318,1850,532,2400,1082,2900,1582,9.97,12.04,🟢 Strong,52570,5,3,3,56.0,173.9,475.1,11.2,17.4,23.8,352289,143994,91424,63840,129840,189840,14766,76658,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.86/sqft, n=3) | Selayang | [Partial] Area PSF Avg, Strata all sizes (RM2.40/sqft, n=4) | Selayang | [Fully] Area PSF Avg, Strata all sizes (RM1.95/sqft, n=5) | Selayang | CORRECTED (audit 19/07/2026): Fully 1950.0->2900 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/13859
Apartment Kelisa Ria,Kajang,Kajang,Apartment,3,1.0,800,Leasehold,160000,730,950,220,1100,370,1350,620,8.25,10.12,🟢 Strong,35800,6,5,4,26.8,122.8,367.9,5.4,12.3,18.4,195039,79767,43967,26400,44400,74400,9514,34453,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.57/sqft, n=8) | Kajang | [Partial] Area PSF Avg, Strata all sizes (RM1.40/sqft, n=21) | Kajang | [Fully] Area PSF Avg, Strata all sizes (RM1.69/sqft, n=13) | Kajang | CORRECTED (audit 19/07/2026): Unfurnished 1250.0->950 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/567
Apartment Pinggiran Batu Caves,Selayang,"Taman Pinggiran Batu Caves, Batu Caves",Apartment,2,1.0,650,Leasehold,150000,684,1200,516,1550,866,1850,1166,12.4,14.8,🟢 Strong,34500,4,3,3,23.3,116.6,354.7,4.7,11.7,17.7,182849,74725,40225,61920,103920,139920,9107,31118,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.86/sqft, n=3) | Selayang | [Partial] Area PSF Avg, Strata all sizes (RM2.40/sqft, n=4) | Selayang | [Fully] Area PSF Avg, Strata all sizes (RM1.95/sqft, n=5) | Selayang | CORRECTED (audit 19/07/2026): Fully 1250.0->1850 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",3/5/2026,EXP,https://telegram.me/extremeproperty_listing/17308
Amara Residences,Selayang,Batu Caves,Service Residence,3,2.0,1100,Freehold,337000,1537,2050,513,2650,1113,3200,1663,9.44,11.39,🟢 Strong,58810,5,3,3,62.6,185.5,499.5,12.5,18.6,25.0,410801,167924,109114,61560,133560,199560,16721,92393,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.86/sqft, n=3) | Selayang | [Partial] Area PSF Avg, Strata all sizes (RM2.40/sqft, n=4) | Selayang | [Fully] Area PSF Avg, Strata all sizes (RM1.95/sqft, n=5) | Selayang | CORRECTED (audit 19/07/2026): Fully 2150.0->3200 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/11541
Perdana Villa,Kuala Lumpur,Pandan Perdana,Apartment,3,2.0,827,Leasehold,220000,1003,1500,497,1650,647,2500,1497,9,13.64,🟢 Strong,43600,5,4,2,43.1,151.3,427.6,8.6,15.1,21.4,268179,109566,65966,59640,77640,179640,11957,54009,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",20/4/2026,EXP,https://telegram.me/extremeproperty_listing/16635
Fortune Park,Seri Kembangan,Seri Kembangan,Apartment,3,2.0,1109,Leasehold,279000,1272,1150,-122,1300,28,3150,1878,5.59,13.55,🟢 Strong,51270,11,9,2,54.3,171.0,469.0,10.9,17.1,23.4,340099,138952,87682,-14640,3360,225360,14359,73323,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.17/sqft, n=4) | Seri Kembangan | [Fully] Area PSF Avg, Strata all sizes (RM2.85/sqft, n=10) | Seri Kembangan | CORRECTED (audit 19/07/2026): Unfurnished 1750.0->1150 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/789
South City Apartment,Seri Kembangan,Taman Serdang Perdana,Apartment,3,2.0,1046,Leasehold,266000,1213,1050,-163,1200,-13,3000,1787,5.41,13.53,🟢 Strong,49580,13,9,2,52.2,167.3,461.2,10.4,16.7,23.1,324253,132518,82938,-19560,-1560,214440,13830,69108,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.17/sqft, n=4) | Seri Kembangan | [Fully] Area PSF Avg, Strata all sizes (RM2.85/sqft, n=10) | Seri Kembangan | CORRECTED (audit 19/07/2026): Unfurnished 1650.0->1050 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/9604
Apartment Teratai,Puchong,Taman Putra Perdana,Apartment,3,2.0,751,Leasehold,168000,766,950,184,1100,334,1650,884,7.86,11.79,🟢 Strong,36840,7,5,3,29.3,127.1,376.9,5.9,12.7,18.8,204791,83679,46839,22080,40080,106080,9840,36999,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.61/sqft, n=3) | Puchong | [Partial] Area PSF Avg, Strata all sizes (RM1.48/sqft, n=15) | Puchong | [Fully] Area PSF Avg, Strata all sizes (RM2.22/sqft, n=12) | Puchong | CORRECTED (audit 19/07/2026): Unfurnished 1200.0->950 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/9301
Semi-Detached House Meru,Klang,Meru,Semi Detached,4,3.0,2400,Freehold,510000,2326,2750,424,3000,674,3400,1074,7.06,8,🟢 Strong,81400,4,4,3,130.1,332.2,871.1,26.0,33.2,43.6,719405,351842,270442,50880,80880,128880,27028,243414,"[Unfurnished] Area PSF Avg, Landed >=1500sqft (RM1.15/sqft, n=3) | Klang | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",12/7/2026,MMN,https://telegram.me/HaniMNListingSubsale/15
Bungalow Taman Bandar Puteri,Rawang,Bandar Tasik Puteri,Bungalow,3,3.0,4000,Freehold,850000,3876,4300,424,5000,1124,5650,1774,7.06,7.98,🟢 Strong,129000,4,3,3,142.0,354.5,921.1,28.4,35.4,46.1,1199009,586303,457303,50880,134880,212880,43047,414256,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",15/5/2026,EXP,https://telegram.me/extremeproperty_listing/17512
Suria Mewah Residensi,Kajang,Semenyih,Apartment,4,2.0,1052,Freehold,270000,1231,1250,19,1450,219,1800,569,6.44,8,🟢 Strong,50100,9,7,5,52.8,168.4,463.5,10.6,16.8,23.2,329128,134474,84374,2280,26280,68280,13993,70381,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.57/sqft, n=8) | Kajang | [Partial] Area PSF Avg, Strata all sizes (RM1.40/sqft, n=21) | Kajang | [Fully] Area PSF Avg, Strata all sizes (RM1.69/sqft, n=13) | Kajang | CORRECTED (audit 19/07/2026): Unfurnished 1650.0->1250 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/13663
Antara Apartment,Ampang,Taman Mulia Jaya,Apartment,3,2.0,829,Leasehold,175000,798,1200,402,1400,602,1700,902,9.6,11.66,🟢 Strong,37750,5,4,3,31.5,130.9,384.8,6.3,13.1,19.2,213324,87179,49429,48240,72240,108240,10125,39304,[Partial] Exact - 1 listing(s) | Antara Apartment | [Unfurnished] Est. from Partial; [Fully] Est. from Partial,10/7/2026,EXP,https://telegram.me/extremeproperty_listing/14283
Pangsapuri Bayu Suria,Seri Kembangan,Seri Kembangan,Apartment,3,2.0,1100,Leasehold,285000,1300,1150,-150,1300,0,3150,1850,5.47,13.26,🟢 Strong,52050,12,9,2,55.4,172.9,473.0,11.1,17.3,23.6,347413,142037,89987,-18000,0,222000,14604,75383,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.17/sqft, n=4) | Seri Kembangan | [Fully] Area PSF Avg, Strata all sizes (RM2.85/sqft, n=10) | Seri Kembangan | CORRECTED (audit 19/07/2026): Unfurnished 1700.0->1150 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/9278
Melur Apartment,Kuala Lumpur,Bandar Baru Sentul,Apartment,3,2.0,1016,Leasehold 60 Years,320000,1459,1850,391,2050,591,3050,1591,7.69,11.44,🟢 Strong,56600,5,5,3,60.3,181.6,491.2,12.1,18.2,24.6,390078,159382,102782,46920,70920,190920,16029,86753,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",8/6/2026,EXP,https://telegram.me/extremeproperty_listing/18116
Apartment Seri Melati,Rawang,Bandar Sri Putra,Apartment,3,2.0,789,Freehold,190000,866,1250,384,1400,534,2000,1134,8.84,12.63,🟢 Strong,39700,5,4,3,35.7,138.3,400.2,7.1,13.8,20.0,231609,94591,54891,46080,64080,136080,10736,44155,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Citywide PSF Avg, Strata all sizes (RM1.76/sqft, n=156) | Citywide | [Fully] Citywide PSF Avg, Strata all sizes (RM2.54/sqft, n=235) | Citywide",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/13035
Mutiara Fadason Apartment,Kuala Lumpur,Jinjang,Apartment,3,2.0,650,Leasehold,180000,821,1200,379,1300,479,1950,1129,8.67,13,🟢 Strong,38400,5,5,3,33.0,133.6,390.5,6.6,13.4,19.5,219419,89700,51300,45480,57480,135480,10329,40971,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/10132
Prima Tiara II,Kuala Lumpur,Segambut,Apartment,3,2.0,926,Freehold,290000,1322,1700,378,2200,878,2650,1328,9.1,10.97,🟢 Strong,52700,5,4,3,56.0,174.0,475.2,11.2,17.4,23.8,353508,144407,91707,45360,105360,159360,14807,76900,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Zone PSF Avg, Strata all sizes (RM2.40/sqft, n=3) | Segambut | [Fully] Zone PSF Avg, Strata all sizes (RM1.75/sqft, n=7) | Segambut | CORRECTED (audit 19/07/2026): Fully 1600.0->2650 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",10/6/2026,EXP,https://telegram.me/extremeproperty_listing/18409
Pangsapuri Mutiara Subang,Shah Alam,Subang Bestari (Seksyen U5),Apartment,3,2.0,850,Leasehold,260000,1186,1250,64,1450,264,2250,1064,6.69,10.38,🟢 Strong,48800,8,6,3,51.2,165.5,457.5,10.2,16.6,22.9,316939,129583,80783,7680,31680,127680,13586,67197,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.83/sqft, n=6) | Shah Alam | [Partial] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=21) | Shah Alam | [Fully] Area PSF Avg, Strata all sizes (RM2.66/sqft, n=18) | Shah Alam | CORRECTED (audit 19/07/2026): Unfurnished 1550.0->1250 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",2/4/2026,MMN,https://telegram.me/HaniMNListingSubsale/429
Jasmin Court,Puchong,Bandar Puchong Jaya,Apartment,3,2.0,926,Freehold,250000,1140,1150,10,1350,210,2050,910,6.48,9.84,🟢 Strong,47500,9,7,3,49.3,162.2,450.5,9.9,16.2,22.5,304749,124541,77041,1200,25200,109200,13179,63862,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.61/sqft, n=3) | Puchong | [Partial] Area PSF Avg, Strata all sizes (RM1.48/sqft, n=15) | Puchong | [Fully] Area PSF Avg, Strata all sizes (RM2.22/sqft, n=12) | Puchong | CORRECTED (audit 19/07/2026): Unfurnished 1500.0->1150 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",21/6/2026,EXP,https://telegram.me/extremeproperty_listing/14277
One Sierra Apartment,Selayang,Selayang,Apartment,3,2.0,767,Leasehold,230000,1049,1400,351,1850,801,2200,1151,9.65,11.48,🟢 Strong,44900,5,4,3,45.3,155.3,435.9,9.1,15.5,21.8,280369,114608,69708,42120,96120,138120,12364,57344,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.86/sqft, n=3) | Selayang | [Partial] Area PSF Avg, Strata all sizes (RM2.40/sqft, n=4) | Selayang | [Fully] Area PSF Avg, Strata all sizes (RM1.95/sqft, n=5) | Selayang | CORRECTED (audit 19/07/2026): Fully 1500.0->2200 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/11953
Vesta View Apartment,Kajang,Taman Impian Putra / Bandar Seri Putra,Apartment,3,3.0,1044,Freehold,285000,1300,1250,-50,1450,150,1750,450,6.11,7.37,🟢 Strong,52050,10,7,5,55.4,172.9,473.0,11.1,17.3,23.6,347413,142037,89987,-6000,18000,54000,14604,75383,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.57/sqft, n=8) | Kajang | [Partial] Area PSF Avg, Strata all sizes (RM1.40/sqft, n=21) | Kajang | [Fully] Area PSF Avg, Strata all sizes (RM1.69/sqft, n=13) | Kajang | CORRECTED (audit 19/07/2026): Unfurnished 1650.0->1250 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",20/4/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/1138
Pr1ma Seremban Sentral @ Seremban,Nilai,Bukit Rasah,Apartment,3,2.0,1033,Freehold,275000,1254,1600,346,1800,546,2150,896,7.85,9.38,🟢 Strong,50750,6,5,4,53.7,169.9,466.7,10.7,17.0,23.3,335223,136995,86245,41520,65520,107520,14196,72049,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Citywide PSF Avg, Strata all sizes (RM1.76/sqft, n=156) | Citywide | [Fully] Area PSF Avg, Strata all sizes (RM1.33/sqft, n=5) | Nilai | CORRECTED (audit 19/07/2026): Fully 1350.0->2150 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",25/5/2026,EXP,https://telegram.me/extremeproperty_listing/17944
