row,listing_type,project_name,area,code,folder
467,rental,The Zizz,Petaling Jaya / Damansara,ADL,thezizzADL
468,rental,Razak City Residences,Kuala Lumpur,ADL,razakcityresidencesADL
469,rental,Residensi Sateria,Kuala Lumpur,EX,residensisateriaEX
470,rental,Datum Jelatek Residence,Kuala Lumpur,DPM,datumjelatekresidenceDPM
471,rental,Datum Jelatek Residence,Kuala Lumpur,DPM,datumjelatekresidenceDPM
472,subsale,SOHO Suites @ KLCC,Kuala Lumpur,EXP,sohosuitesklccEXP
473,rental,Plaza @ Kelana Jaya,Petaling Jaya / Damansara,ADL,plazakelanajayaADL
480,room,AraTre Residences,Petaling Jaya / Damansara,DPM,aratreresidencesDPM
483,subsale,Taman Bukit Setiawangsa,Kuala Lumpur,EXP,tamanbukitsetiawangsaEXP
484,subsale,Seasons Garden Residence,Kuala Lumpur,CE,seasonsgardenresidenceCE
503,rental,Novo Ampang,Ampang,-,novoampang-
509,rental,Residensi Amansuri,Cheras,ADL,residensiamansuriADL
510,rental,9INE Residensi Sembilan,Cheras,EX,9ineresidensisembilanEX
512,rental,Impiana Sky Residensi,Bukit Jalil,ADL,impianaskyresidensiADL
513,rental,The Zizz @ Damansara Damai,Petaling Jaya / Damansara,ADL,thezizzdamansaradamaiADL
514,rental,DEX Suites 2.0 (Tower B) @ Kiara East,Kuala Lumpur,ADL,dexsuites20towerbkiaraeastADL
515,rental,Q SOVO (Queenville),Cheras,EX,qsovoqueenvilleEX
518,rental,The Birch,Kuala Lumpur,ADL,thebirchADL
520,rental,PPAM Residensi Amansuri,Kuala Lumpur,ADL,ppamresidensiamansuriADL
522,rental,Residensi Rampai II,Setapak,EX,residensirampaiiiEX
525,rental,Avenue D'Vogue,Petaling Jaya / Damansara,EX,avenuedvogueEX
526,rental,Anya @ Shorea Park,Puchong,ADL,anyashoreaparkADL
527,rental,Altris Residence @ The Quartz WM,Kuala Lumpur,ADL,altrisresidencethequartzwmADL
528,subsale,Segambut Freehold Development Land,Kuala Lumpur,EXP,segambutfreeholddevelopmentlandEXP
529,rental,"Chambers Residence (CHM-29-10-S2, KLCC View)",Kuala Lumpur,DPM,chambersresidencechm2910s2klccviewDPM
530,rental,"Chambers Residence (CHM-28-3A-S2, KLCC View)",Kuala Lumpur,DPM,chambersresidencechm283as2klccviewDPM
531,subsale,Taman Minang,Cheras,EXP,tamanminangEXP
534,rental,"Chambers Residence (CHM-23A-03-S2, KLCC View)",Kuala Lumpur,DPM,chambersresidencechm23a03s2klccviewDPM
535,rental,Carlton @ Plaza Damas 3,Kuala Lumpur,ADL,carltonplazadamas3ADL
536,rental,La Thea Residences,Puchong,NS,lathearesidencesNS
537,subsale,2 Storey Terrace Bandar Mahkota Cheras,Cheras,EXP,2storeyterracebandarmahkotacherasEXP
538,rental,Kota Damansara 2-Storey Terrace,Petaling Jaya / Damansara,FPR,kotadamansara2storeyterraceFPR
539,subsale,2 Storey Terrace Taman Bukit Permai,Kuala Lumpur,EXP,2storeyterracetamanbukitpermaiEXP
540,subsale,2 Storey Terrace Putra Heights,Subang Jaya,EXP,2storeyterraceputraheightsEXP
541,subsale,2 Storey Terrace Pandan Indah,Kuala Lumpur,EXP,2storeyterracepandanindahEXP
542,subsale,Residential Land Kg Padang Balang,Kuala Lumpur,EXP,residentiallandkgpadangbalangEXP
543,subsale,Pandan Heights Condominium,Kuala Lumpur,EXP,pandanheightscondominiumEXP
544,rental,PPA1M Mercu Jalil,Bukit Jalil,ADL,ppa1mmercujalilADL
545,rental,Lea by the Hills,Kuala Lumpur,ADL,leabythehillsADL
546,subsale,The Grand @ Kelana Damansara Suite,Petaling Jaya / Damansara,EXP,thegrandkelanadamansarasuiteEXP
548,subsale,The Ridge @ KL East,Kuala Lumpur,EXP,theridgekleastEXP
549,subsale,Bungalow Sungai Penchala,Petaling Jaya / Damansara,EXP,bungalowsungaipenchalaEXP
550,subsale,2 Storey Terrace Cassia Garden Residence,Cyberjaya / Putrajaya,EXP,2storeyterracecassiagardenresidenceEXP
553,subsale,3 Storey Semi-Detached Tijani 2,Kuala Lumpur,REG,3storeysemidetachedtijani2REG
555,subsale,Aman Dua Apartment,Kuala Lumpur,EXP,amanduaapartmentEXP
556,rental,The Colony by Infinitum,Kuala Lumpur,DPM,thecolonybyinfinitumDPM
557,rental,The Colony by Infinitum,Kuala Lumpur,DPM,thecolonybyinfinitumDPM
558,subsale,Mutiara Bukit Jalil,Bukit Jalil,EXP,mutiarabukitjalilEXP
559,subsale,Residential Land Kg Chubadak Jaya,Kuala Lumpur,EXP,residentiallandkgchubadakjayaEXP
561,subsale,SS19/A1 End Lot Terrace,Subang Jaya,EXP,ss19a1endlotterraceEXP
564,subsale,Changkat View Condominium,Kuala Lumpur,EXP,changkatviewcondominiumEXP
566,rental,Villa Puteri Condominium,Kuala Lumpur,EX,villaputericondominiumEX
567,rental,The Elements @ Ampang,Kuala Lumpur,EX,theelementsampangEX
568,rental,Residensi Alamanda,Kuala Lumpur,ADL,residensialamandaADL
569,rental,The Colony by Infinitum,Kuala Lumpur,DPM,thecolonybyinfinitumDPM
570,rental,Angkasa Impian 2,Kuala Lumpur,ADL,angkasaimpian2ADL
571,rental,Datum Jelatek LINQ Sky Residences,Kuala Lumpur,EX,datumjelateklinqskyresidencesEX
572,rental,The Colony by Infinitum,Kuala Lumpur,DPM,thecolonybyinfinitumDPM
573,rental,The Colony by Infinitum,Kuala Lumpur,DPM,thecolonybyinfinitumDPM
574,rental,The Colony by Infinitum,Kuala Lumpur,DPM,thecolonybyinfinitumDPM
577,subsale,Taman Putra Perdana,Puchong,EXP,tamanputraperdanaEXP
578,rental,The Colony by Infinitum,Kuala Lumpur,DPM,thecolonybyinfinitumDPM
579,rental,The Colony by Infinitum,Kuala Lumpur,DPM,thecolonybyinfinitumDPM
580,rental,The Colony by Infinitum,Kuala Lumpur,DPM,thecolonybyinfinitumDPM
581,rental,The Colony by Infinitum,Kuala Lumpur,DPM,thecolonybyinfinitumDPM
582,rental,The Luxe by Infinitum (Colony View),Kuala Lumpur,DPM,theluxebyinfinitumcolonyviewDPM
583,rental,The Luxe by Infinitum (Colony View),Kuala Lumpur,DPM,theluxebyinfinitumcolonyviewDPM
584,rental,The Luxe by Infinitum (Colony View),Kuala Lumpur,DPM,theluxebyinfinitumcolonyviewDPM
585,rental,The Luxe by Infinitum (Colony View),Kuala Lumpur,DPM,theluxebyinfinitumcolonyviewDPM
586,rental,Datum Jelatek Residence,Kuala Lumpur,DPM,datumjelatekresidenceDPM
587,rental,Datum Jelatek Residence,Kuala Lumpur,DPM,datumjelatekresidenceDPM
588,rental,Datum Jelatek Residence,Kuala Lumpur,DPM,datumjelatekresidenceDPM
589,rental,Datum Jelatek Residence,Kuala Lumpur,DPM,datumjelatekresidenceDPM
590,rental,Seksyen 10 Jalan Gasing,Petaling Jaya / Damansara,EX,seksyen10jalangasingEX
591,subsale,Pinggiran TTDI,Kuala Lumpur,EXP,pinggirantddiEXP
592,subsale,SS3,Petaling Jaya / Damansara,EXP,ss3EXP
594,subsale,Melawati Corporate Centre (MCC),Kuala Lumpur,EXP,melawaticorporatecentremccEXP
595,rental,Platinum OUG Residence,Kuala Lumpur,ADL,platinumougresidenceADL
598,rental,Koi Prima,Puchong,ADL,koiprimaADL
600,rental,Vista Harmoni Residence,Kuala Lumpur,EX,vistaharmoniresidenceEX
603,room,D'Sands Residence,Kuala Lumpur,DPM,dsandsresidenceDPM
604,room,D'Sands Residence,Kuala Lumpur,DPM,dsandsresidenceDPM
606,room,Emporis Residence,Petaling Jaya / Damansara,DPM,emporisresidenceDPM
618,room,Bayu Tasik Condominium,Cheras,DPM,bayutasikcondominiumDPM
620,rental,"Chambers Residence (CHM-31-10-S1, KLCC View)",Kuala Lumpur,DPM,chambersresidencechm3110s1klccviewDPM
636,subsale,Bandar Kinrara 9 (BK9),Puchong,EXP,bandarkinrara9bk9EXP
638,rental,Kenwingston Platz,Setapak,ADL,kenwingstonplatzADL
641,rental,Anya @ Shorea Park,Puchong,ADL,anyashoreaparkADL
642,subsale,Aston Kiara 3,Kuala Lumpur,EXP,astonkiara3EXP
646,subsale,Taman Indah Jaya,Petaling Jaya / Damansara,EXP,tamanindahjayaEXP
647,rental,Vivo Residential Suites,Kuala Lumpur,EX,vivoresidentialsuitesEX
648,rental,Sentul Point Suites,Sentul,EX,sentulpointsuitesEX
649,rental,Majestic Maxim (Malaysian Only),Cheras,ADL,majesticmaximmalaysianonlyADL
651,rental,Tiara Imperio,Bangi,NS,tiaraimperioNS
652,subsale,Taman Setapak,Setapak,EXP,tamansetapakEXP
653,rental,Chambers Residence,Kuala Lumpur,ADL,chambersresidenceADL
654,subsale,Dorsett Residences,Kuala Lumpur,EXP,dorsettresidencesEXP
655,rental,Vista Harmoni,Sentul,ADL,vistaharmoniADL
656,rental,Bam Villa,Cheras,ADL,bamvillaADL
658,subsale,Antara Apartment,Ampang,EXP,antaraapartmentEXP
659,rental,Enggang Apartment,Puchong,EX,enggangapartmentEX
661,rental,"The Colony by Infinitum (COL-A-13A-05-S3, Luxe View)",Kuala Lumpur,DPM,thecolonybyinfinitumcola13a05s3luxeviewDPM
662,rental,"The Colony by Infinitum (COL-A-13A-05-S2, Luxe View)",Kuala Lumpur,DPM,thecolonybyinfinitumcola13a05s2luxeviewDPM
663,rental,"The Colony by Infinitum (COL-A-12-06-S3, Luxe View)",Kuala Lumpur,DPM,thecolonybyinfinitumcola1206s3luxeviewDPM
664,rental,"The Colony by Infinitum (COL-A-12-05-S3, Luxe View)",Kuala Lumpur,DPM,thecolonybyinfinitumcola1205s3luxeviewDPM
665,rental,"The Colony by Infinitum (COL-A-12-05-S2, Luxe View)",Kuala Lumpur,DPM,thecolonybyinfinitumcola1205s2luxeviewDPM
666,rental,"The Colony by Infinitum (COL-A-10-07-S3, City View)",Kuala Lumpur,DPM,thecolonybyinfinitumcola1007s3cityviewDPM
667,rental,"The Colony by Infinitum (COL-A-10-07-S2, City View)",Kuala Lumpur,DPM,thecolonybyinfinitumcola1007s2cityviewDPM
668,rental,"The Colony by Infinitum (COL-A-10-06-S3, Luxe View)",Kuala Lumpur,DPM,thecolonybyinfinitumcola1006s3luxeviewDPM
670,rental,"The Colony by Infinitum (COL-A-08-03-S3, City View)",Kuala Lumpur,DPM,thecolonybyinfinitumcola0803s3cityviewDPM
672,rental,Maxim Citylights,Sentul,ADL,maximcitylightsADL
675,rental,Apartment Putra 1,Bangi,NS,apartmentputra1NS
676,subsale,Vila Tropika Apartment Pudu Impian 2,Cheras,EXP,vilatropikaapartmentpuduimpian2EXP
677,subsale,Mutiara Ville Residence,Cyberjaya / Putrajaya,EXP,mutiaravilleresidenceEXP
679,subsale,Fern Lodge,Kuala Lumpur,EXP,fernlodgeEXP
680,rental,Aera Residence,Petaling Jaya / Damansara,ADL,aeraresidenceADL
681,subsale,2 Storey Terrace Taman Sri Gombak,Selayang,EXP,2storeyterracetamansrigombakEXP
682,subsale,Prima Duta,Kuala Lumpur,EXP,primadutaEXP
683,subsale,Pantai Panorama,Kuala Lumpur,EXP,pantaipanoramaEXP
687,rental,Minest Residence,Kuala Lumpur,EX,minestresidenceEX
688,rental,Residensi Rimbun @ Canopy Hills,Kajang,ADL,residensirimbuncanopyhillsADL
689,rental,M Centura,Sentul,WRL,mcenturaWRL
690,subsale,Kiara East DEX Suites,Kuala Lumpur,EXP,kiaraeastdexsuitesEXP
693,rental,"The Colony by Infinitum (COL-A-08-03-S2, City View)",Kuala Lumpur,DPM,thecolonybyinfinitumcola0803s2cityviewDPM
697,subsale,The iResidence,Cheras,DPM,theiresidenceDPM
701,subsale,Taman Hillview,Ampang,EXP,tamanhillviewEXP
703,subsale,Alam Sutera Bukit Jalil,Bukit Jalil,EXP,alamsuterabukitjalilEXP
704,subsale,Widuri Impian Condominium,Kuala Lumpur,EXP,widuriimpiancondominiumEXP
710,subsale,Double Storey Bungalow Taman Perwira,Ampang,EXP,doublestoreybungalowtamanperwiraEXP
713,subsale,Arte Cheras,Kuala Lumpur,EXP,artecherasEXP
715,rental,Sky Awani 1,Sentul,ADL,skyawani1ADL
716,rental,The Boulevard,Subang Jaya,ADL,theboulevardADL
719,rental,PPA1M Metropolitan Kepong,Kepong,EX,ppa1mmetropolitankepongEX
721,rental,Impian Selatan Condominium (Southern Height),Ampang,EX,impianselatancondominiumsouthernheightEX
723,rental,The Luxe by Infinitum (KLCC View),Kuala Lumpur,DPM,theluxebyinfinitumklccviewDPM
724,subsale,MyHabitat Serviced Residence,Kuala Lumpur,EXP,myhabitatservicedresidenceEXP
725,subsale,The Hamilton,Kuala Lumpur,EXP,thehamiltonEXP
727,rental,Pavilion Suites,Kuala Lumpur,FPR,pavilionsuitesFPR
728,subsale,Agile Residence,Kuala Lumpur,EXP,agileresidenceEXP
729,rental,Melawati Corporate Centre (MCC),Kuala Lumpur,EX,melawaticorporatecentremccEX
731,subsale,Sentul Point Suite Apartment,Sentul,EXP,sentulpointsuiteapartmentEXP
732,subsale,Bukit Pandan 2 Condominium,Cheras,EXP,bukitpandan2condominiumEXP
736,subsale,Sentul Village Condominium,Sentul,EXP,sentulvillagecondominiumEXP
740,room,Endah Regal,Bukit Jalil,NS,endahregalNS
742,subsale,RiverView Kemensah,Ampang,EXP,riverviewkemensahEXP
744,room,SkyVille @ Benteng 8,Kuala Lumpur,DPM,skyvillebenteng8DPM
745,room,SkyVille @ Benteng 8,Kuala Lumpur,DPM,skyvillebenteng8DPM
747,subsale,Taman Telok Panglima Garang,Klang,CE,tamantelokpanglimagarangCE
750,subsale,Mas Kipark Damansara,Kepong,EXP,maskiparkdamansaraEXP
756,subsale,Sky Suites @ KLCC,Kuala Lumpur,EXP,skysuitesklccEXP
760,room,Cova Suites,Petaling Jaya / Damansara,DPM,covasuitesDPM
764,subsale,Pangsapuri Indah Mas,Cheras,EXP,pangsapuriindahmasEXP
772,rental,Sutera Pines,Kajang,MMN,suterapinesMMN
773,subsale,Midfields 2,Kuala Lumpur,EXP,midfields2EXP
776,subsale,Taman Taynton View,Cheras,EXP,tamantayntonviewEXP
778,subsale,Parkland Residence,Kajang,EXP,parklandresidenceEXP
780,rental,Vista Harmoni Residences,Sentul,DPM,vistaharmoniresidencesDPM
781,rental,Vista Harmoni Residences,Sentul,DPM,vistaharmoniresidencesDPM
782,rental,Vista Harmoni Residences,Sentul,DPM,vistaharmoniresidencesDPM
783,rental,Vista Harmoni Residences,Sentul,DPM,vistaharmoniresidencesDPM
785,rental,Vista Harmoni Residences,Sentul,DPM,vistaharmoniresidencesDPM
787,rental,Continew Condominium,Kuala Lumpur,ADL,continewcondominiumADL
788,rental,3 Elements,Seri Kembangan,NS,3elementsNS
789,rental,Garden Park Condominium,Kajang,NS,gardenparkcondominiumNS
790,subsale,Bandar Seri Putra,Kajang,EXP,bandarseriputraEXP
791,rental,Arte Plus,Ampang,ADL,arteplusADL
792,rental,Edgewood Residence,Setapak,ADL,edgewoodresidenceADL
793,rental,Cerrado Suites,Bangi,FPR,cerradosuitesFPR
794,rental,Kiara Residence 1,Bukit Jalil,EX,kiararesidence1EX
795,rental,Trinity Wellnessa,Ampang,EX,trinitywellnessaEX
796,rental,Green Villa Apartment (Blok B),Bangi,NS,greenvillaapartmentblokbNS
797,subsale,Taman Dahlia,Sepang,EXP,tamandahliaEXP
799,rental,Residensi Mutiara Kajang,Kajang,ADL,residensimutiarakajangADL
801,rental,Danau Kota Suites,Setapak,EX,danaukotasuitesEX
802,rental,Edumetro EDU-E-19-01-U,Subang Jaya,DPM,edumetroedue1901uDPM
803,rental,Residensi Mutiara,Kajang,NS,residensimutiaraNS
804,rental,Puncak Hijauan,Kajang,NS,puncakhijauanNS
807,rental,Sang Suria Condominium,Sentul,ADL,sangsuriacondominiumADL
808,rental,Residensi Mutiara,Kajang,ADL,residensimutiaraADL
809,subsale,Pandan Perdana,Cheras,EXP,pandanperdanaEXP
811,subsale,The Era Residence @ Duta North,Kuala Lumpur,EXP,theeraresidencedutanorthEXP
815,rental,One Cochrane Residences,Kuala Lumpur,DPM,onecochraneresidencesDPM
818,rental,Citizen @ Old Klang Road,Kuala Lumpur,ADL,citizenoldklangroadADL
819,rental,Sri Kenanga Apartment,Puchong,NS,srikenangaapartmentNS
824,rental,Corinthian Condominium,Kuala Lumpur,LSY,corinthiancondominiumLSY
825,rental,The Potpourri,Petaling Jaya / Damansara,FPR,thepotpourriFPR
826,subsale,2 Storey Terrace Denai Alam,Shah Alam,EXP,2storeyterracedenaialamEXP
827,subsale,2 Storey Terrace Elmina West,Shah Alam,RSS,2storeyterraceelminawestRSS
829,subsale,2.5 Storey Terrace Kim Crest,Puchong,EXP,25storeyterracekimcrestEXP
830,subsale,Ken Rimba,Shah Alam,REG,kenrimbaREG
831,subsale,2 Storey Terrace Bukit Indah,Ampang,EXP,2storeyterracebukitindahEXP
832,rental,Liberty Arc,Ampang,ADL,libertyarcADL
833,rental,Vivo Residential Suites,Kuala Lumpur,FPR,vivoresidentialsuitesFPR
834,rental,Tasik Permai Shop Lot,Ampang,FPR,tasikpermaishoplotFPR
835,rental,Regalia Residences,Kuala Lumpur,FPR,regaliaresidencesFPR
836,rental,Quill Residence,Kuala Lumpur,FPR,quillresidenceFPR
837,rental,Majestic Residence,Kuala Lumpur,FPR,majesticresidenceFPR
838,rental,Liberty Arc,Ampang,FPR,libertyarcFPR
839,rental,Legasi Kampong Bharu KL Residensi,Kuala Lumpur,FPR,legasikampongbharuklresidensiFPR
841,rental,Dorsett Residences,Kuala Lumpur,FPR,dorsettresidencesFPR
842,rental,Centrio Pantai Hill Park,Kuala Lumpur,FPR,centriopantaihillparkFPR
843,rental,Armani Residence Kuala Lumpur,Kuala Lumpur,FPR,armaniresidencekualalumpurFPR
844,rental,Agile Bukit Bintang,Kuala Lumpur,FPR,agilebukitbintangFPR
845,rental,Agile Bukit Bintang,Kuala Lumpur,FPR,agilebukitbintangFPR
846,rental,The Corinthian,Kuala Lumpur,EX,thecorinthianEX
847,rental,6 Ceylon Condominium,Kuala Lumpur,EX,6ceyloncondominiumEX
849,rental,Emerald 9,Cheras,ADL,emerald9ADL
851,rental,Alam Damai,Cheras,ADL,alamdamaiADL
853,rental,The Paxtonz,Petaling Jaya / Damansara,ADL,thepaxtonzADL
855,rental,Residensi Dutamas Dahlia,Kuala Lumpur,ADL,residensidutamasdahliaADL
856,rental,Residensi Sateria SASaR,Kuala Lumpur,EX,residensisateriasasarEX
857,rental,Residensi Sateria SASaR,Kuala Lumpur,EX,residensisateriasasarEX
860,subsale,Trinity Aquata,Kuala Lumpur,EXP,trinityaquataEXP
861,subsale,2 Storey Terrace Taman Banting Baru,Sepang,EXP,2storeyterracetamanbantingbaruEXP
865,subsale,Parisien Tower D,Shah Alam,MMN,parisientowerdMMN
866,subsale,2 Storey Terrace Taman Tenaga,Kajang,RSS,2storeyterracetamantenagaRSS
867,subsale,2 Storey Terrace Taman Tiara East,Kajang,RSS,2storeyterracetamantiaraeastRSS
868,subsale,2 Storey Terrace Kajang Hillpark,Kajang,RSS,2storeyterracekajanghillparkRSS
869,subsale,The Havre Bukit Jalil,Bukit Jalil,EXP,thehavrebukitjalilEXP
872,subsale,2 Storey Terrace Taman Bukit Setiawangsa,Kuala Lumpur,EXP,2storeyterracetamanbukitsetiawangsaEXP
876,subsale,Residensi AVA,Kuala Lumpur,EXP,residensiavaEXP
880,subsale,2 Storey Terrace Isle of Botanica,Cyberjaya / Putrajaya,EXP,2storeyterraceisleofbotanicaEXP
881,subsale,Vista Komanwel C Condo,Bukit Jalil,EXP,vistakomanwelccondoEXP
883,subsale,Villa Bestari,Kuala Lumpur,EXP,villabestariEXP
884,subsale,Taman Maju,Kajang,EXP,tamanmajuEXP
887,subsale,Sentul Village Condominium,Sentul,EXP,sentulvillagecondominiumEXP
892,subsale,Parkview KLCC Residence,Kuala Lumpur,EXP,parkviewklccresidenceEXP
893,subsale,Parkhill Residence,Bukit Jalil,EXP,parkhillresidenceEXP
895,subsale,One Damansara Condominium,Petaling Jaya / Damansara,EXP,onedamansaracondominiumEXP
897,subsale,Gardenview Residence,Cyberjaya / Putrajaya,EXP,gardenviewresidenceEXP
898,subsale,Core Residence @ TRX,Kuala Lumpur,EXP,coreresidencetrxEXP
899,subsale,Bandar Mahkota Cheras,Cheras,EXP,bandarmahkotacherasEXP
901,rental,SOHO Trio Permai,Seri Kembangan,ADL,sohotriopermaiADL
902,rental,Parkland Residence @ Kajang 2,Kajang,ADL,parklandresidencekajang2ADL
903,rental,Trion 2 @ KL,Kuala Lumpur,EX,trion2klEX
904,rental,Denai Sutera,Bukit Jalil,ADL,denaisuteraADL
905,rental,Sentral Suites SEN-2-39-12-U (118/TRX/Pool View),Kuala Lumpur,DPM,sentralsuitessen23912u118trxpoolviewDPM
906,rental,Sentral Suites SEN-2-23A-08-U (South East View),Kuala Lumpur,DPM,sentralsuitessen223a08usoutheastviewDPM
907,rental,Sentral Suites SEN-2-21-03-U (118/TRX/Pool View),Kuala Lumpur,DPM,sentralsuitessen22103u118trxpoolviewDPM
909,rental,Sentral Suites SEN-2-20-08-U (118/TRX/Pool View),Kuala Lumpur,DPM,sentralsuitessen22008u118trxpoolviewDPM
910,rental,Sentral Suites SEN-2-16-15-U (City/South West View),Kuala Lumpur,DPM,sentralsuitessen21615ucitysouthwestviewDPM
911,rental,Sentral Suites SEN-1-43-11-U (118/TRX/Pool View),Kuala Lumpur,DPM,sentralsuitessen14311u118trxpoolviewDPM
912,rental,"The Luxe by Infinitum (Colony View, Premium)",Kuala Lumpur,DPM,theluxebyinfinitumcolonyviewpremiumDPM
913,rental,Pangsapuri Beringin,Selayang,DPM,pangsapuriberinginDPM
914,rental,M Astra Setapak,Setapak,EX,mastrasetapakEX
915,rental,SOHO Flexis @ One South,Seri Kembangan,ADL,sohoflexisonesouthADL
916,subsale,Taman Villa Heights,Kajang,EXP,tamanvillaheightsEXP
918,rental,M Luna,Kepong,ADL,mlunaADL
925,subsale,Kg Sungai Pelong Bungalow,Sungai Buloh,EXP,kgsungaipelongbungalowEXP
927,subsale,Taman Sutera,Kajang,EXP,tamansuteraEXP
932,room,AraTre Residences,Petaling Jaya / Damansara,DPM,aratreresidencesDPM
933,room,Emporis Residence,Petaling Jaya / Damansara,DPM,emporisresidenceDPM
934,room,Emporis Residence,Petaling Jaya / Damansara,DPM,emporisresidenceDPM
935,rental,One Cochrane Residence,Kuala Lumpur,DPM,onecochraneresidenceDPM
936,rental,Sentral Suites Residence,Kuala Lumpur,DPM,sentralsuitesresidenceDPM
970,rental,Residensi Enesta,Kepong,ADL,residensienestaADL
971,subsale,Dataran Palma,Ampang,EXP,dataranpalmaEXP
973,rental,Residensi Brickfields,Kuala Lumpur,ADL,residensibrickfieldsADL
974,rental,Horizon Suites,Dengkil,NS,horizonsuitesNS
976,subsale,Taman Connaught,Cheras,EXP,tamanconnaughtEXP
977,subsale,Bandar Kinrara,Puchong,EXP,bandarkinraraEXP
978,subsale,Vivo Residential Suites,Kuala Lumpur,EXP,vivoresidentialsuitesEXP
980,rental,Tiara Imperio,Bangi,EXP,tiaraimperioEXP
981,rental,Residensi Bukit Tiara,Kajang,EX,residensibukittiaraEX
982,rental,Residensi Anggerik Wira,Kajang,ADL,residensianggerikwiraADL
985,rental,Residensi Emas Kajang 2,Kajang,NS,residensiemaskajang2NS
986,rental,Residensi Brickfields,Kuala Lumpur,ADL,residensibrickfieldsADL
987,rental,Residensi Adelia 2,Kajang,NS,residensiadelia2NS
989,rental,LBS Skylake Residence,Puchong,ADL,lbsskylakeresidenceADL
990,rental,Residensi Rimbun – The Canopy Hills,Kajang,ADL,residensirimbunthecanopyhillsADL
991,rental,Dorsett Residence,Kuala Lumpur,ADL,dorsettresidenceADL
993,rental,"The Colony by Infinitum (COL-A-18-06-S1 (P), City View)",Kuala Lumpur,DPM,thecolonybyinfinitumcola1806s1pcityviewDPM
994,rental,"The Colony by Infinitum (COL-A-13A-05-S1 (P), Luxe View)",Kuala Lumpur,DPM,thecolonybyinfinitumcola13a05s1pluxeviewDPM
995,rental,"The Colony by Infinitum (COL-A-12-06-S1 (P), Luxe View)",Kuala Lumpur,DPM,thecolonybyinfinitumcola1206s1pluxeviewDPM
